time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,speed,rpm_bl,rpm_br,rpm_fl,rpm_fr,steering,throttle
0,2.749996262,3.884447054,3.056215091,3.789590406,3.222816611,2.73616338,2.233137963,3.479545815,0.209335799,4.411492276,2.577691691,-165,34,34,2,21,1697,725,1243,564,1952,1629
0.5,3.808683989,3.918726969,2.483397987,2.80203522,2.892376796,2.841565708,1.083594263,0.49084,3.175329948,3.999723101,3.426427143,95,34,34,2,19,162,2036,2039,1698,1725,1731
1,2.49774459,3.540704869,3.35248047,3.325423638,3.442489956,3.083858669,5.200717481,1.742295501,1.263995233,2.165171161,2.680094997,24,34,34,1,15,1453,1287,1453,567,1919,1053
1.5,3.050487621,3.006668551,2.488148709,2.683240001,3.001722023,3.475132841,0.514089885,4.247447742,4.549729327,3.775548581,3.205009123,64,34,34,1,45,155,358,1629,535,1014,1901
2,3.591026695,3.241658982,3.931656109,3.651461178,2.259410852,2.784819169,4.852018761,0.993535171,3.728828606,3.938329274,5.589042248,161,34,34,0,12,1331,1449,351,1846,1365,1107
2.5,3.346210709,2.991798631,2.654398088,3.717130465,3.88321744,3.44219351,1.543485738,3.954909871,3.043662869,4.902744165,4.564080585,34,34,34,2,19,1979,1084,1648,181,1342,1259
3,2.860060874,2.047841695,2.008221214,2.09979342,2.454897007,2.495044428,4.929421454,0.741988315,5.971734257,5.612224002,4.896337801,-99,34,34,0,16,1943,959,1951,2322,1550,1445
3.5,3.055717282,2.045476419,2.403707561,2.52246637,2.536041627,3.098158581,3.546786967,4.240382053,0.255235108,0.661007587,5.902065414,78,34,34,1,1,1250,2308,407,2063,1501,1568
4,3.569359812,2.892891131,3.534168751,2.081355369,2.417234437,3.946470415,1.924738544,5.30217064,5.037502467,0.602656651,1.544715809,-113,34,34,3,4,1825,2216,1549,640,1973,1464
4.5,3.052001529,2.520317785,2.748556828,3.717388745,2.605935338,2.906561438,2.968902365,5.150442069,1.422168009,5.026397871,5.556075715,-27,34,34,2,44,1948,1190,1518,102,1218,1814
5,3.139199783,3.848505023,3.97189181,2.881221709,3.864714018,2.030808722,5.0696932,5.136425807,4.1266133,2.430034097,0.282006266,-45,34,34,0,15,1870,2180,286,419,1484,1070
5.5,3.688603992,2.146179855,3.297303813,3.410067689,2.842384341,3.822270462,1.368810622,1.88719576,0.405577733,1.11772085,0.461175475,-3,34,34,0,12,1981,747,592,1535,1926,1946
6,3.562729266,2.274565646,2.963572197,2.766820603,3.285893514,2.516262282,3.723529998,3.67844201,2.825836033,1.391857945,3.933097559,-138,34,34,0,11,116,160,282,1522,1368,1167
6.5,2.894682367,2.798154168,3.372912817,3.40674303,2.339085241,3.473030493,3.732290821,4.932370361,2.696352372,0.51033105,4.65599181,27,34,34,3,8,84,1219,1324,1740,1015,1171
7,3.580761188,2.636193127,3.961818428,3.869461372,2.187830965,2.038367556,0.665177071,1.313449915,1.142871566,3.329012315,1.712296009,56,34,34,0,43,1316,1678,271,1365,1924,1789
7.5,3.750415967,3.611603991,3.252823562,3.460333251,2.400376366,3.677254621,1.416169619,2.571533793,4.427302946,5.82629745,4.746440649,46,34,34,3,26,2092,559,341,251,1010,1965
8,2.617763632,2.307900587,3.693313231,3.446602327,2.631449503,3.833878997,4.741240552,0.818105044,1.704733634,4.859910403,0.727257577,96,34,34,2,29,1100,848,2217,2210,1752,1463
8.5,2.139754254,3.687125821,3.582192829,2.060615176,3.504336671,3.533066932,0.200949825,3.947995832,2.679465863,1.742823197,5.411225489,177,34,34,0,13,1529,816,868,837,1857,1298
9,2.490983303,2.031075937,2.196318098,3.010352855,3.002871025,2.487255704,1.024131415,3.119233683,4.490945052,0.387939258,1.187528688,2,34,34,0,13,1240,379,231,1632,1655,1418
9.5,2.954756533,2.46621777,3.753695899,2.08749656,3.215147912,2.339607869,4.031936067,1.505669181,2.628837166,1.029871179,3.111899603,86,34,34,1,14,2015,1939,1638,2088,1674,1827
10,3.938085898,2.972183946,2.34651735,2.822033541,3.30239929,3.887712311,3.40006406,3.544334547,3.479819831,2.479905092,4.025291158,146,34,34,2,30,553,1267,610,842,1591,1405
